"Statistic Label","Year","Ward","UNIT","VALUE"
"Number of Farms","1999","Craigavon Centre","Number",""
"Number of Farms","1999","Demesne","Number",""
"Number of Farms","1999","Derrytrasna","Number",""
"Number of Farms","1999","Donaghcloney","Number",""
"Number of Farms","1999","Dromore (Armagh, Banbridge and Craigavon)","Number",""
"Number of Farms","1999","Gilford","Number",""
"Number of Farms","1999","Gransha","Number",""
"Number of Farms","1999","Hamiltonsbawn","Number",""
"Number of Farms","1999","Keady","Number",""
"Number of Farms","1999","Kernan","Number",""
"Number of Farms","1999","Killycomain","Number",""
"Number of Farms","1999","Knocknashane","Number",""
"Number of Farms","1999","Lough Road","Number",""
"Number of Farms","1999","Loughbrickland","Number",""
"Number of Farms","1999","Loughgall","Number",""
"Number of Farms","1999","Magheralin","Number",""
"Number of Farms","1999","Mahon","Number",""
"Number of Farms","1999","Markethill","Number",""
"Number of Farms","1999","Mourneview","Number",""
"Number of Farms","1999","Navan","Number",""
"Number of Farms","1999","Parklake","Number",""
"Number of Farms","1999","Quilly","Number",""
"Number of Farms","1999","Rathfriland","Number",""
"Number of Farms","1999","Richhill","Number",""
"Number of Farms","1999","Seagahan","Number",""
"Number of Farms","1999","Shankill (Armagh, Banbridge and Craigavon)","Number",""
"Number of Farms","1999","Tandragee","Number",""
"Number of Farms","1999","The Birches","Number",""
"Number of Farms","1999","The Mall","Number",""
"Number of Farms","1999","Waringstown","Number",""
"Number of Farms","1999","Andersonstown","Number",""
"Number of Farms","1999","Ardoyne","Number",""
"Number of Farms","1999","Ballygomartin","Number",""
"Number of Farms","1999","Ballymacarrett","Number",""
"Number of Farms","1999","Ballymurphy","Number",""
"Number of Farms","1999","Ballysillan","Number",""
"Number of Farms","1999","Beechmount","Number",""
"Number of Farms","1999","Beersbridge","Number",""
"Number of Farms","1999","Bellevue","Number",""
"Number of Farms","1999","Belmont","Number",""
"Number of Farms","1999","Belvoir","Number",""
"Number of Farms","1999","Blackstaff","Number",""
"Number of Farms","1999","Bloomfield (Belfast)","Number",""
"Number of Farms","1999","Cavehill","Number",""
"Number of Farms","1999","Central","Number",""
"Number of Farms","1999","Chichester Park","Number",""
"Number of Farms","1999","Cliftonville","Number",""
"Number of Farms","1999","Clonard","Number",""
"Number of Farms","1999","Collin Glen","Number",""
"Number of Farms","1999","Connswater","Number",""
"Number of Farms","1999","Cregagh","Number",""
"Number of Farms","1999","Duncairn","Number",""
"Number of Farms","1999","Dunmurry","Number",""
"Number of Farms","1999","Falls","Number",""
"Number of Farms","1999","Falls Park","Number",""
"Number of Farms","1999","Finaghy","Number",""
"Number of Farms","1999","Forth River","Number",""
"Number of Farms","1999","Fortwilliam","Number",""
"Number of Farms","1999","Garnerville","Number",""
"Number of Farms","1999","Gilnahirk","Number",""
"Number of Farms","1999","Hillfoot","Number",""
"Number of Farms","1999","Innisfayle","Number",""
"Number of Farms","1999","Knock","Number",""
"Number of Farms","1999","Ladybrook","Number",""
"Number of Farms","1999","Lagmore","Number",""
"Number of Farms","1999","Legoniel","Number",""
"Number of Farms","1999","Malone","Number",""
"Number of Farms","1999","Merok","Number",""
"Number of Farms","1999","Musgrave","Number",""
"Number of Farms","1999","New Lodge","Number",""
"Number of Farms","1999","Orangefield","Number",""
"Number of Farms","1999","Ormeau","Number",""
"Number of Farms","1999","Poleglass","Number",""
"Number of Farms","1999","Ravenhill","Number",""
"Number of Farms","1999","Rosetta","Number",""
"Number of Farms","1999","Sandown","Number",""
"Number of Farms","1999","Shandon","Number",""
"Number of Farms","1999","Shankill (Belfast)","Number",""
"Number of Farms","1999","Shaw's Road","Number",""
"Number of Farms","1999","Stewartstown (Belfast)","Number",""
"Number of Farms","1999","Stormont","Number",""
"Number of Farms","1999","Stranmillis","Number",""
"Number of Farms","1999","Sydenham","Number",""
"Number of Farms","1999","Turf Lodge","Number",""
"Number of Farms","1999","Twinbrook","Number",""
"Number of Farms","1999","Upper Malone","Number",""
"Number of Farms","1999","Water Works","Number",""
"Number of Farms","1999","Windsor","Number",""
"Number of Farms","1999","Woodstock","Number",""
"Number of Farms","1999","Woodvale","Number",""
"Number of Farms","1999","Aghadowey","Number",""
"Number of Farms","1999","Altahullion","Number",""
"Number of Farms","1999","Atlantic","Number",""
"Number of Farms","1999","Ballycastle","Number",""
"Number of Farms","1999","Ballykelly","Number",""
"Number of Farms","1999","Ballymoney East","Number",""
"Number of Farms","1999","Ballymoney North","Number",""
"Number of Farms","1999","Ballymoney South","Number",""
"Number of Farms","1999","Castlerock","Number",""
"Number of Farms","1999","Churchland","Number",""
"Number of Farms","1999","Clogh Mills","Number",""
"Number of Farms","1999","Coolessan","Number",""
"Number of Farms","1999","Dervock","Number",""
"Number of Farms","1999","Drumsurn","Number",""
"Number of Farms","1999","Dundooan","Number",""
"Number of Farms","1999","Dungiven","Number",""
"Number of Farms","1999","Dunloy","Number",""
"Number of Farms","1999","Feeny","Number",""
"Number of Farms","1999","Garvagh","Number",""
"Number of Farms","1999","Giant's Causeway","Number",""
"Number of Farms","1999","Greysteel","Number",""
"Number of Farms","1999","Greystone (Causeway Coast and Glens)","Number",""
"Number of Farms","1999","Hopefield","Number",""
"Number of Farms","1999","Kilrea","Number",""
"Number of Farms","1999","Kinbane","Number",""
"Number of Farms","1999","Loughguile and Stranocum","Number",""
"Number of Farms","1999","Lurigethan","Number",""
"Number of Farms","1999","Macosquin","Number",""
"Number of Farms","1999","Magilligan","Number",""
"Number of Farms","1999","Mountsandel","Number",""
"Number of Farms","1999","Portrush and Dunluce","Number",""
"Number of Farms","1999","Portstewart","Number",""
"Number of Farms","1999","Quarry","Number",""
"Number of Farms","1999","Rasharkin","Number",""
"Number of Farms","1999","Roeside","Number",""
"Number of Farms","1999","Route","Number",""
"Number of Farms","1999","Torr Head and Rathlin","Number",""
"Number of Farms","1999","University","Number",""
"Number of Farms","1999","Waterside","Number",""
"Number of Farms","1999","Windy Hall","Number",""
"Number of Farms","1999","Artigarvan","Number",""
"Number of Farms","1999","Ballycolman","Number",""
"Number of Farms","1999","Ballymagroarty","Number",""
"Number of Farms","1999","Brandywell","Number",""
"Number of Farms","1999","Carn Hill","Number",""
"Number of Farms","1999","Castlederg","Number",""
"Number of Farms","1999","Caw","Number",""
"Number of Farms","1999","City Walls","Number",""
"Number of Farms","1999","Claudy","Number",""
"Number of Farms","1999","Clondermot","Number",""
"Number of Farms","1999","Creggan","Number",""
"Number of Farms","1999","Creggan South","Number",""
"Number of Farms","1999","Culmore","Number",""
"Number of Farms","1999","Drumahoe","Number",""
"Number of Farms","1999","Dunnamanagh","Number",""
"Number of Farms","1999","Ebrington","Number",""
"Number of Farms","1999","Eglinton","Number",""
"Number of Farms","1999","Enagh","Number",""
"Number of Farms","1999","Finn","Number",""
"Number of Farms","1999","Foyle Springs","Number",""
"Number of Farms","1999","Galliagh","Number",""
"Number of Farms","1999","Glenderg","Number",""
"Number of Farms","1999","Glenelly Valley","Number",""
"Number of Farms","1999","Kilfennan","Number",""
"Number of Farms","1999","Lisnagelvin","Number",""
"Number of Farms","1999","Madam's Bank","Number",""
"Number of Farms","1999","New Buildings","Number",""
"Number of Farms","1999","Newtownstewart","Number",""
"Number of Farms","1999","Northland","Number",""
"Number of Farms","1999","Park (Derry and Strabane)","Number",""
"Number of Farms","1999","Shantallow","Number",""
"Number of Farms","1999","Shantallow East","Number",""
"Number of Farms","1999","Sheriff's Mountain","Number",""
"Number of Farms","1999","Sion Mills","Number",""
"Number of Farms","1999","Skeoge","Number",""
"Number of Farms","1999","Slievekirk","Number",""
"Number of Farms","1999","Springtown","Number",""
"Number of Farms","1999","Strabane North","Number",""
"Number of Farms","1999","Strabane West","Number",""
"Number of Farms","1999","Victoria (Derry and Strabane)","Number",""
"Number of Farms","1999","Ballinamallard","Number",""
"Number of Farms","1999","Belcoo and Garrison","Number",""
"Number of Farms","1999","Belleek and Boa","Number",""
"Number of Farms","1999","Beragh","Number",""
"Number of Farms","1999","Boho,Cleenish and Letterbreen","Number",""
"Number of Farms","1999","Brookeborough","Number",""
"Number of Farms","1999","Camowen","Number",""
"Number of Farms","1999","Castlecoole","Number",""
"Number of Farms","1999","Coolnagard","Number",""
"Number of Farms","1999","Dergmoney","Number",""
"Number of Farms","1999","Derrygonnelly","Number",""
"Number of Farms","1999","Derrylin","Number",""
"Number of Farms","1999","Donagh","Number",""
"Number of Farms","1999","Dromore (Fermanagh and Omagh)","Number",""
"Number of Farms","1999","Drumnakilly","Number",""
"Number of Farms","1999","Drumquin","Number",""
"Number of Farms","1999","Ederney and Kesh","Number",""
"Number of Farms","1999","Erne","Number",""
"Number of Farms","1999","Fairy Water","Number",""
"Number of Farms","1999","Fintona","Number",""
"Number of Farms","1999","Florence Court and Kinawley","Number",""
"Number of Farms","1999","Gortin","Number",""
"Number of Farms","1999","Gortrush","Number",""
"Number of Farms","1999","Irvinestown","Number",""
"Number of Farms","1999","Killyclogher","Number",""
"Number of Farms","1999","Lisbellaw","Number",""
"Number of Farms","1999","Lisnarrick","Number",""
"Number of Farms","1999","Lisnaskea","Number",""
"Number of Farms","1999","Maguiresbridge","Number",""
"Number of Farms","1999","Newtownbutler","Number",""
"Number of Farms","1999","Newtownsaville","Number",""
"Number of Farms","1999","Owenkillew","Number",""
"Number of Farms","1999","Portora","Number",""
"Number of Farms","1999","Rosslea","Number",""
"Number of Farms","1999","Rossorry","Number",""
"Number of Farms","1999","Sixmilecross","Number",""
"Number of Farms","1999","Strule","Number",""
"Number of Farms","1999","Tempo","Number",""
"Number of Farms","1999","Termon","Number",""
"Number of Farms","1999","Trillick","Number",""
"Number of Farms","1999","Ballinderry","Number",""
"Number of Farms","1999","Ballyhanwood","Number",""
"Number of Farms","1999","Ballymacash","Number",""
"Number of Farms","1999","Ballymacbrennan","Number",""
"Number of Farms","1999","Ballymacoss","Number",""
"Number of Farms","1999","Beechill","Number",""
"Number of Farms","1999","Blaris","Number",""
"Number of Farms","1999","Cairnshill","Number",""
"Number of Farms","1999","Carrowreagh","Number",""
"Number of Farms","1999","Carryduff East","Number",""
"Number of Farms","1999","Carryduff West","Number",""
"Number of Farms","1999","Derryaghy","Number",""
"Number of Farms","1999","Dromara","Number",""
"Number of Farms","1999","Drumbo","Number",""
"Number of Farms","1999","Dundonald","Number",""
"Number of Farms","1999","Enler","Number",""
"Number of Farms","1999","Galwally","Number",""
"Number of Farms","1999","Glenavy","Number",""
"Number of Farms","1999","Graham's Bridge","Number",""
"Number of Farms","1999","Harmony Hill","Number",""
"Number of Farms","1999","Hilden","Number",""
"Number of Farms","1999","Hillhall","Number",""
"Number of Farms","1999","Hillsborough","Number",""
"Number of Farms","1999","Knockbracken","Number",""
"Number of Farms","1999","Knockmore","Number",""
"Number of Farms","1999","Lagan","Number",""
"Number of Farms","1999","Lagan Valley","Number",""
"Number of Farms","1999","Lambeg","Number",""
"Number of Farms","1999","Lisnagarvey","Number",""
"Number of Farms","1999","Maghaberry","Number",""
"Number of Farms","1999","Magheralave","Number",""
"Number of Farms","1999","Maze","Number",""
"Number of Farms","1999","Moira","Number",""
"Number of Farms","1999","Moneyreagh","Number",""
"Number of Farms","1999","Newtownbreda","Number",""
"Number of Farms","1999","Old Warren","Number",""
"Number of Farms","1999","Ravernet","Number",""
"Number of Farms","1999","Stonyford","Number",""
"Number of Farms","1999","Wallace Park","Number",""
"Number of Farms","1999","White Mountain","Number",""
"Number of Farms","1999","Academy","Number",""
"Number of Farms","1999","Ahoghill","Number",""
"Number of Farms","1999","Ardeevin","Number",""
"Number of Farms","1999","Ballee and Harryville","Number",""
"Number of Farms","1999","Ballycarry and Glynn","Number",""
"Number of Farms","1999","Ballykeel","Number",""
"Number of Farms","1999","Boneybefore","Number",""
"Number of Farms","1999","Braidwater","Number",""
"Number of Farms","1999","Broughshane","Number",""
"Number of Farms","1999","Burleigh Hill","Number",""
"Number of Farms","1999","Cairncastle","Number",""
"Number of Farms","1999","Carnlough and Glenarm","Number",""
"Number of Farms","1999","Castle (Mid and East Antrim)","Number",""
"Number of Farms","1999","Castle Demesne","Number",""
"Number of Farms","1999","Craigyhill","Number",""
"Number of Farms","1999","Cullybackey","Number",""
"Number of Farms","1999","Curran and Inver","Number",""
"Number of Farms","1999","Fair Green","Number",""
"Number of Farms","1999","Galgorm","Number",""
"Number of Farms","1999","Gardenmore","Number",""
"Number of Farms","1999","Glenravel","Number",""
"Number of Farms","1999","Glenwhirry","Number",""
"Number of Farms","1999","Gortalee","Number",""
"Number of Farms","1999","Grange","Number",""
"Number of Farms","1999","Greenisland","Number",""
"Number of Farms","1999","Islandmagee","Number",""
"Number of Farms","1999","Kells","Number",""
"Number of Farms","1999","Kilroot","Number",""
"Number of Farms","1999","Kilwaughter","Number",""
"Number of Farms","1999","Kirkinriola","Number",""
"Number of Farms","1999","Love Lane","Number",""
"Number of Farms","1999","Maine","Number",""
"Number of Farms","1999","Park (Mid and East Antrim)","Number",""
"Number of Farms","1999","Portglenone","Number",""
"Number of Farms","1999","Slemish","Number",""
"Number of Farms","1999","Sunnylands","Number",""
"Number of Farms","1999","The Maidens","Number",""
"Number of Farms","1999","Victoria (Mid and East Antrim)","Number",""
"Number of Farms","1999","Whitehead South","Number",""
"Number of Farms","1999","Woodburn","Number",""
"Number of Farms","1999","Ardboe","Number",""
"Number of Farms","1999","Augher and Clogher","Number",""
"Number of Farms","1999","Aughnacloy","Number",""
"Number of Farms","1999","Ballygawley","Number",""
"Number of Farms","1999","Ballymaguigan","Number",""
"Number of Farms","1999","Ballysaggart","Number",""
"Number of Farms","1999","Bellaghy","Number",""
"Number of Farms","1999","Caledon","Number",""
"Number of Farms","1999","Castlecaulfield","Number",""
"Number of Farms","1999","Castledawson","Number",""
"Number of Farms","1999","Coagh","Number",""
"Number of Farms","1999","Coalisland North","Number",""
"Number of Farms","1999","Coalisland South","Number",""
"Number of Farms","1999","Cookstown East","Number",""
"Number of Farms","1999","Cookstown South","Number",""
"Number of Farms","1999","Cookstown West","Number",""
"Number of Farms","1999","Coolshinny","Number",""
"Number of Farms","1999","Donaghmore","Number",""
"Number of Farms","1999","Draperstown","Number",""
"Number of Farms","1999","Fivemiletown","Number",""
"Number of Farms","1999","Glebe (Mid Ulster)","Number",""
"Number of Farms","1999","Killyman","Number",""
"Number of Farms","1999","Killymeal","Number",""
"Number of Farms","1999","Lissan","Number",""
"Number of Farms","1999","Loughry","Number",""
"Number of Farms","1999","Lower Glenshane","Number",""
"Number of Farms","1999","Maghera","Number",""
"Number of Farms","1999","Moy","Number",""
"Number of Farms","1999","Moygashel","Number",""
"Number of Farms","1999","Mullaghmore","Number",""
"Number of Farms","1999","Oaklands","Number",""
"Number of Farms","1999","Pomeroy","Number",""
"Number of Farms","1999","Stewartstown (Mid Ulster)","Number",""
"Number of Farms","1999","Swatragh","Number",""
"Number of Farms","1999","Tamlaght O'Crilly","Number",""
"Number of Farms","1999","The Loup","Number",""
"Number of Farms","1999","Tobermore","Number",""
"Number of Farms","1999","Town Parks East","Number",""
"Number of Farms","1999","Valley (Mid Ulster)","Number",""
"Number of Farms","1999","Washing Bay","Number",""
"Number of Farms","1999","Abbey (Newry, Mourne and Down)","Number",""
"Number of Farms","1999","Annalong","Number",""
"Number of Farms","1999","Ballybot","Number",""
"Number of Farms","1999","Ballydugan","Number",""
"Number of Farms","1999","Ballynahinch","Number",""
"Number of Farms","1999","Ballyward","Number",""
"Number of Farms","1999","Bessbrook","Number",""
"Number of Farms","1999","Binnian","Number",""
"Number of Farms","1999","Burren","Number",""
"Number of Farms","1999","Camlough","Number",""
"Number of Farms","1999","Castlewellan","Number",""
"Number of Farms","1999","Cathedral (Newry, Mourne and Down)","Number",""
"Number of Farms","1999","Crossgar and Killyleagh","Number",""
"Number of Farms","1999","Crossmaglen","Number",""
"Number of Farms","1999","Damolly","Number",""
"Number of Farms","1999","Derryboy","Number",""
"Number of Farms","1999","Derryleckagh","Number",""
"Number of Farms","1999","Donard","Number",""
"Number of Farms","1999","Drumalane","Number",""
"Number of Farms","1999","Drumaness","Number",""
"Number of Farms","1999","Dundrum","Number",""
"Number of Farms","1999","Fathom","Number",""
"Number of Farms","1999","Forkhill","Number",""
"Number of Farms","1999","Hilltown","Number",""
"Number of Farms","1999","Kilkeel","Number",""
"Number of Farms","1999","Kilmore","Number",""
"Number of Farms","1999","Knocknashinna","Number",""
"Number of Farms","1999","Lecale","Number",""
"Number of Farms","1999","Lisnacree","Number",""
"Number of Farms","1999","Mayobridge","Number",""
"Number of Farms","1999","Mullaghbane","Number",""
"Number of Farms","1999","Murlough","Number",""
"Number of Farms","1999","Newtownhamilton","Number",""
"Number of Farms","1999","Quoile","Number",""
"Number of Farms","1999","Rostrevor","Number",""
"Number of Farms","1999","Saintfield","Number",""
"Number of Farms","1999","St. Patrick's","Number",""
"Number of Farms","1999","Strangford","Number",""
"Number of Farms","1999","Tollymore","Number",""
"Number of Farms","1999","Warrenpoint","Number",""
"Number of Farms","1999","Whitecross","Number",""
"Number of Farms","1999","Ballycrochan","Number",""
"Number of Farms","1999","Ballygowan","Number",""
"Number of Farms","1999","Ballygrainey","Number",""
"Number of Farms","1999","Ballyholme","Number",""
"Number of Farms","1999","Ballymagee","Number",""
"Number of Farms","1999","Ballywalter","Number",""
"Number of Farms","1999","Bloomfield (North Down and Ards)","Number",""
"Number of Farms","1999","Broadway","Number",""
"Number of Farms","1999","Bryansburn","Number",""
"Number of Farms","1999","Carrowdore","Number",""
"Number of Farms","1999","Castle (North Down and Ards)","Number",""
"Number of Farms","1999","Clandeboye","Number",""
"Number of Farms","1999","Comber North","Number",""
"Number of Farms","1999","Comber South","Number",""
"Number of Farms","1999","Comber West","Number",""
"Number of Farms","1999","Conway Square","Number",""
"Number of Farms","1999","Cronstown","Number",""
"Number of Farms","1999","Cultra","Number",""
"Number of Farms","1999","Donaghadee","Number",""
"Number of Farms","1999","Glen","Number",""
"Number of Farms","1999","Gregstown","Number",""
"Number of Farms","1999","Groomsport","Number",""
"Number of Farms","1999","Harbour","Number",""
"Number of Farms","1999","Helen's Bay","Number",""
"Number of Farms","1999","Holywood","Number",""
"Number of Farms","1999","Kilcooley","Number",""
"Number of Farms","1999","Killinchy","Number",""
"Number of Farms","1999","Kircubbin","Number",""
"Number of Farms","1999","Loughries","Number",""
"Number of Farms","1999","Loughview","Number",""
"Number of Farms","1999","Movilla","Number",""
"Number of Farms","1999","Portaferry","Number",""
"Number of Farms","1999","Portavogie","Number",""
"Number of Farms","1999","Rathgael","Number",""
"Number of Farms","1999","Rathmore","Number",""
"Number of Farms","1999","Scrabo","Number",""
"Number of Farms","1999","Silverbirch","Number",""
"Number of Farms","1999","Silverstream","Number",""
"Number of Farms","1999","Warren","Number",""
"Number of Farms","1999","West Winds","Number",""
"Number of Farms","1999","Northern Ireland","Number","31132"
"Number of Farms","2000","Abbey (Antrim and Newtownabbey)","Number",""
"Number of Farms","2000","Aldergrove","Number",""
"Number of Farms","2000","Antrim Centre","Number",""
"Number of Farms","2000","Ballyclare East","Number",""
"Number of Farms","2000","Ballyclare West","Number",""
"Number of Farms","2000","Ballyduff","Number",""
"Number of Farms","2000","Ballyhenry","Number",""
"Number of Farms","2000","Ballynure","Number",""
"Number of Farms","2000","Ballyrobert","Number",""
"Number of Farms","2000","Burnthill","Number",""
"Number of Farms","2000","Carnmoney","Number",""
"Number of Farms","2000","Carnmoney Hill","Number",""
"Number of Farms","2000","Clady","Number",""
"Number of Farms","2000","Collinbridge","Number",""
"Number of Farms","2000","Cranfield","Number",""
"Number of Farms","2000","Crumlin","Number",""
"Number of Farms","2000","Doagh","Number",""
"Number of Farms","2000","Fairview","Number",""
"Number of Farms","2000","Fountain Hill","Number",""
"Number of Farms","2000","Glebe (Antrim and Newtownabbey)","Number",""
"Number of Farms","2000","Glengormley","Number",""
"Number of Farms","2000","Greystone (Antrim and Newtownabbey)","Number",""
"Number of Farms","2000","Hightown","Number",""
"Number of Farms","2000","Jordanstown","Number",""
"Number of Farms","2000","Mallusk","Number",""
"Number of Farms","2000","Monkstown","Number",""
"Number of Farms","2000","Mossley","Number",""
"Number of Farms","2000","O'Neill","Number",""
"Number of Farms","2000","Parkgate","Number",""
"Number of Farms","2000","Randalstown","Number",""
"Number of Farms","2000","Rathcoole","Number",""
"Number of Farms","2000","Rostulla","Number",""
"Number of Farms","2000","Shilvodan","Number",""
"Number of Farms","2000","Springfarm","Number",""
"Number of Farms","2000","Steeple","Number",""
"Number of Farms","2000","Stiles","Number",""
"Number of Farms","2000","Templepatrick","Number",""
"Number of Farms","2000","Toome","Number",""
"Number of Farms","2000","Valley (Antrim and Newtownabbey)","Number",""
"Number of Farms","2000","Whitehouse","Number",""
"Number of Farms","2000","Aghagallon","Number",""
"Number of Farms","2000","Ballybay","Number",""
"Number of Farms","2000","Banbridge East","Number",""
"Number of Farms","2000","Banbridge North","Number",""
"Number of Farms","2000","Banbridge South","Number",""
"Number of Farms","2000","Banbridge West","Number",""
"Number of Farms","2000","Blackwatertown","Number",""
"Number of Farms","2000","Bleary","Number",""
"Number of Farms","2000","Brownlow","Number",""
"Number of Farms","2000","Cathedral (Armagh, Banbridge and Craigavon)","Number",""
"Number of Farms","2000","Corcrain","Number",""
"Number of Farms","2000","Craigavon Centre","Number",""
"Number of Farms","2000","Demesne","Number",""
"Number of Farms","2000","Derrytrasna","Number",""
"Number of Farms","2000","Donaghcloney","Number",""
"Number of Farms","2000","Dromore (Armagh, Banbridge and Craigavon)","Number",""
"Number of Farms","2000","Gilford","Number",""
"Number of Farms","2000","Gransha","Number",""
"Number of Farms","2000","Hamiltonsbawn","Number",""
"Number of Farms","2000","Keady","Number",""
"Number of Farms","2000","Kernan","Number",""
"Number of Farms","2000","Killycomain","Number",""
"Number of Farms","2000","Knocknashane","Number",""
"Number of Farms","2000","Lough Road","Number",""
"Number of Farms","2000","Loughbrickland","Number",""
"Number of Farms","2000","Loughgall","Number",""
"Number of Farms","2000","Magheralin","Number",""
"Number of Farms","2000","Mahon","Number",""
"Number of Farms","2000","Markethill","Number",""
"Number of Farms","2000","Mourneview","Number",""
"Number of Farms","2000","Navan","Number",""
"Number of Farms","2000","Parklake","Number",""
"Number of Farms","2000","Quilly","Number",""
"Number of Farms","2000","Rathfriland","Number",""
"Number of Farms","2000","Richhill","Number",""
"Number of Farms","2000","Seagahan","Number",""
"Number of Farms","2000","Shankill (Armagh, Banbridge and Craigavon)","Number",""
"Number of Farms","2000","Tandragee","Number",""
"Number of Farms","2000","The Birches","Number",""
"Number of Farms","2000","The Mall","Number",""
"Number of Farms","2000","Waringstown","Number",""
"Number of Farms","2000","Andersonstown","Number",""
"Number of Farms","2000","Ardoyne","Number",""
"Number of Farms","2000","Ballygomartin","Number",""
"Number of Farms","2000","Ballymacarrett","Number",""
"Number of Farms","2000","Ballymurphy","Number",""
"Number of Farms","2000","Ballysillan","Number",""
"Number of Farms","2000","Beechmount","Number",""
"Number of Farms","2000","Beersbridge","Number",""
"Number of Farms","2000","Bellevue","Number",""
"Number of Farms","2000","Belmont","Number",""
"Number of Farms","2000","Belvoir","Number",""
"Number of Farms","2000","Blackstaff","Number",""
"Number of Farms","2000","Bloomfield (Belfast)","Number",""
"Number of Farms","2000","Cavehill","Number",""
"Number of Farms","2000","Central","Number",""
"Number of Farms","2000","Chichester Park","Number",""
"Number of Farms","2000","Cliftonville","Number",""
"Number of Farms","2000","Clonard","Number",""
"Number of Farms","2000","Collin Glen","Number",""
"Number of Farms","2000","Connswater","Number",""
"Number of Farms","2000","Cregagh","Number",""
"Number of Farms","2000","Duncairn","Number",""
"Number of Farms","2000","Dunmurry","Number",""
"Number of Farms","2000","Falls","Number",""
"Number of Farms","2000","Falls Park","Number",""
"Number of Farms","2000","Finaghy","Number",""
"Number of Farms","2000","Forth River","Number",""
"Number of Farms","2000","Fortwilliam","Number",""
"Number of Farms","2000","Garnerville","Number",""
"Number of Farms","2000","Gilnahirk","Number",""
"Number of Farms","2000","Hillfoot","Number",""
"Number of Farms","2000","Innisfayle","Number",""
"Number of Farms","2000","Knock","Number",""
"Number of Farms","2000","Ladybrook","Number",""
"Number of Farms","2000","Lagmore","Number",""
"Number of Farms","2000","Legoniel","Number",""
"Number of Farms","2000","Malone","Number",""
"Number of Farms","2000","Merok","Number",""
"Number of Farms","2000","Musgrave","Number",""
"Number of Farms","2000","New Lodge","Number",""
"Number of Farms","2000","Orangefield","Number",""
"Number of Farms","2000","Ormeau","Number",""
"Number of Farms","2000","Poleglass","Number",""
"Number of Farms","2000","Ravenhill","Number",""
"Number of Farms","2000","Rosetta","Number",""
"Number of Farms","2000","Sandown","Number",""
"Number of Farms","2000","Shandon","Number",""
"Number of Farms","2000","Shankill (Belfast)","Number",""
"Number of Farms","2000","Shaw's Road","Number",""
"Number of Farms","2000","Stewartstown (Belfast)","Number",""
"Number of Farms","2000","Stormont","Number",""
"Number of Farms","2000","Stranmillis","Number",""
"Number of Farms","2000","Sydenham","Number",""
"Number of Farms","2000","Turf Lodge","Number",""
"Number of Farms","2000","Twinbrook","Number",""
"Number of Farms","2000","Upper Malone","Number",""
"Number of Farms","2000","Water Works","Number",""
"Number of Farms","2000","Windsor","Number",""
"Number of Farms","2000","Woodstock","Number",""
"Number of Farms","2000","Woodvale","Number",""
